Unnamed: 0,SriLanka_creole,phonetic_transcription,Portuguese_definition,Portuguese_IPA,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
402,Cartè,kaɾteː,carta,ˈkaɾ.tɐ,letter,noun,,,,"Carte, carta (mais us.).",carta,,143.0
405,Casião,kaziaːo,ocasião,ɔ.kɐ.ˈzjɐ̃w̃,occasion,noun,,,,"Casião, cassião, occasião. Cfr. cupaçáo.",occasião,,143.0
406,Cassa,kasa,caixa,ˈkaj.ʃɐ,box,noun,,,,"Cassa, caixa. Cassâo, caixão.",caixa,,143.0
408,Castella,kastela,castelo,kɐʃ.ˈtɛ.lu,castle,noun,,,,"Castella, castellé, castello.",castello,,143.0
409,castellé,kasteleː,castelo,kɐʃ.ˈtɛ.lu,castle,noun,,,,"Castella, castellé, castello.",castello,,143.0
410,Castigação,kastigasaːo,castigo,kɐʃ.ˈti.ɡu,punishment,noun,,,,Castigaçâo (C A.)^ castigo.,castigo,,143.0
412,Catividade,katiʋidade,cativeiro,kɐ.ti.ˈvɐj.ɾu,captivity,noun,,,,"Catividade, captiveiro. Cfr. duvidade, sobredade.",captiveiro,,143.0
413,Catàrr,kataːr,catarro,kɐ.ˈta.Ru,catarrh,noun,,,,"Catàrr, catarrho. Cfr. pelour.",catarrho,,143.0
414,Causo,kauzo,causa,ˈkaw.zɐ,cause,noun,,,,"Causo, causa. Causedor, causador.",causa,,143.0
416,Cavalheria,kaʋaʎeɾia,cavalaria,kɐ.vɐ.lɐ.ˈɾi.ɐ,armoured corps,noun,,,,"Cavalheria, cavallaria.",cavallaria,,143.0
418,Cavelyéro,kaʋelʲeːɾo,cavalheiro,kɐ.vɐ.ˈʎɐj.ɾu,gentleman,noun,,,,"Caveljéro, cavalheiro. Cfr. filjo, iljarga.",cavalheiro,,143.0
419,Cavelo,kaʋelo,cabelo,kɐ.ˈbe.lu,hair,noun,,,,"Cavelo, cavelho, cabello.",cabello,,143.0
420,Caverno,kaʋeɾno,caverna,kɐ.ˈvɛɾ.nɐ,cavern,noun,,,,"Caverno, caverna.",caverna,,143.0
421,Caxa,kaʃa,queixa,ˈkɐj.ʃɐ,complaint,noun,,,,"Caxa {Br. 2), queixa. V.",queixa,,143.0
422,Cendê,sendeː,acender,ɐ.sẽ.ˈdeɾ,light,verb,,,,"Cendô (A^. T.), accender. V.",accender,,143.0
426,Ceremonio,seɾemonio,cerimónia,sɨ.ɾi.ˈmɔ.njɐ,ceremony,noun,,,,"Ceremonio, cerimonia.",cerimonia,,143.0
431,Chalo,t̠ʃalo,chalé,ʃa.ˈlɛ,chalet,noun,,,,"Chalo, chalé.",chalé,,143.0
434,Chápè,t̠ʃaːpeː,chapa,ˈʃa.pɐ,sheet,noun,,,,"Chápè, chapa (t, us.); sello.",chapa,,143.0
435,Chape,t̠ʃape,chapéu,ʃɐ.ˈpɛw,hat,noun,"Capeverdean creole, Diu creole",,,"Chape, chapéu. Dial. divde Mahé, cab.",chapéu,,143.0
438,Chéo,t̠ʃeːo,cheio,ˈʃɐj.u,full,adjective,Macao creole,,,"Chéo, cheio. Dial. mac. Cfr. féo, viéo.",cheio,,143.0
439,Chéro,t̠ʃeːɾo,cheiro,ˈʃɐj.ɾu,odour,noun,,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.",cheiro,,143.0
440,chiero,t̠ʃieɾo,cheiro,ˈʃɐj.ɾu,odour,noun,,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.",cheiro,,143.0
441,chiesto,t̠ʃiesto,cheiro,ˈʃɐj.ɾu,odour,noun,,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.",cheiro,,143.0
442,chisto,t̠ʃisto,cheiro,ˈʃɐj.ɾu,odour,noun,,,,"Chéro, chiero, chiesto, cbisto, cheiro. Chisto, cheiroso, odoroso.",cheiro,,143.0
454,Chocarréa,t̠ʃokareːa,chocarrice,ʃu.kɐ.ˈRi.sɨ,jest,noun,,,,"Ohocarréa,choqueria, choca rrice.",chocarrice,,144.0
455,choqueria,t̠ʃokeɾia,chocarrice,ʃu.kɐ.ˈRi.sɨ,jest,noun,,,,"Ohocarréa,choqueria, choca rrice.",chocarrice,,144.0
456,Chomà,t̠ʃomaː,chamar,ʃɐ.ˈmaɾ,call,verb,"Capeverdean creole, Marathi",Dialectal Portuguese,,"Chomà, chamar. Dial. mac, cab. Chóma, chamamento; vocação.— Port. Dialetal Portuguese. chomar ou chiimar.",chamar,,144.0
457,Chóma,t̠ʃoːma,chamamento,ʃɐ.mɐ.ˈmẽ.tu,calling,noun,,,,,chamamento,,
470,Cinquo,sinkuo,cinco,ˈsĩ.ku,five,numeral,,Old Portuguese,,"Cinquo, cinquè, cinco (mais us.). Cinquento, cincoenta (t. us.). Cinquo: port. arch.",cinco,,144.0
471,cinquè,sinkeː,cinco,ˈsĩ.ku,five,numeral,,Old Portuguese,,"Cinquo, cinquè, cinco (mais us.). Cinquento, cincoenta (t. us.). Cinquo: port. arch.",cinco,,144.0
480,Clar,klaɾ,claro,ˈkla.ɾu,clear,adjective,,,,"Ciar, claro. Clarmente, claramente. Cfr. desempar.",claro,,144.0
481,Clarmente,klaɾmente,claramente,kla.ɾɐ.ˈmẽ.tɨ,clearly,adverb,,,,,claramente,,
485,Coidá,kojdaː,cuidar,kuj.ˈdaɾ,care,verb,,,,"Coidá, cuidar (mais us.). Coidado, cuidado.",cuidar,,144.0
486,Coidado,kojdado,cuidado,kuj.ˈda.du,caution,noun,,,,,cuidado,,
487,Çoità,sojtaː,açoitar,ɐ.soj.ˈtaɾ,flog,verb,,,,"Çoità, açoitar.",açoitar,,144.0
489,Colleição,koleisaːo,coleção,ku.lɛ.ˈsɐ̃w̃,collection,noun,,Old Portuguese,,"Colleiçâo, collecção. — Port. arch.",collecção,,144.0
492,Columno,kolumno,coluna,ku.ˈlu.nɐ,pillar,noun,,,,"Columno, columna.",columna,,144.0
493,Cóma,koːma,como,ˈko.mu,as,conjunction,Cochin creole,Old Portuguese,,"Coma (p. us.), come (p. us.), como. Coma: dial. coch.— Port. arch.",como,pouco usado,144.0
494,comè,komeː,como,ˈko.mu,as,conjunction,Cochin creole,Old Portuguese,,"Coma (p. us.), come (p. us.), como. Coma: dial. coch.— Port. arch.",como,pouco usado,144.0
495,Combersan,kombeɾsan,conversão,kõ.vɨɾ.ˈsɐ̃w̃,conversion,noun,,,,Combersan (fórm. mod.). V. CONVERSÃO.,conversão,forma moderna,144.0
497,Comedi,komedi,comédia,ku.ˈmɛ.djɐ,comedy,noun,,,,"Comedi, comédè, comedia. Cfr. istôri, mimôri.",comédia,,144.0
498,comédè,komeːdeː,comédia,ku.ˈmɛ.djɐ,comedy,noun,,,,"Comedi, comédè, comedia. Cfr. istôri, mimôri.",comédia,,144.0
499,Comera,komeɾa,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
500,comêrè,komeːɾeː,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
501,comero,komeɾo,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
502,comeira,komeiɾa,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
503,coméria,komeːɾia,comida,ku.ˈmi.dɐ,food,noun,,,"O Bruffador, ii periódico","Comera, comêrè, comero {Br. 2), comeira, comeria, comida. Cfr. podêra; lugária.",comida,,144.0
506,Comidá,komidaː,convidar,kõ.vi.ˈdaɾ,invite,verb,,,,"Comida, convidar. Comida-ção, convite.",convidar,,145.0
507,Comidação,komidasaːo,convite,kõ.ˈvi.tɨ,invitation,noun,,,,,convite,,
508,Commettá,kometːaː,cometer,ku.mɨ.ˈteɾ,commit,verb,,,,"Commettá, comité (Gomes), commetter. Cfr. perverta.",commetter,,145.0
510,Comminhão,komiɲaːo,comunhão,ku.mu.ˈɲɐ̃w̃,communion,noun,,,,"Comminhão, communião p. us.), communhão.",communnião,pouco usado,145.0
516,Companhamen-to,kompaɲamen to,acompanhamento,ɐ.kõ.pɐ.ɲɐ.ˈmẽ.tu,accompaniment,noun,,,,,acompanhamento,,
517,companhimento,kompaɲimento,acompanhamento,ɐ.kõ.pɐ.ɲɐ.ˈmẽ.tu,accompaniment,noun,,,,,acompanhamento,,
518,compinhamento,kompiɲamento,acompanhamento,ɐ.kõ.pɐ.ɲɐ.ˈmẽ.tu,accompaniment,noun,,,,,acompanhamento,,
529,Comtodo,komtodo,contudo,kõ.ˈtu.du,however,adverb,,,,"Comtodo, comtudo.",comtudo,,145.0
530,Con'cé,konəseː,conhecer,ku.ɲɨ.ˈseɾ,know,verb,,,Elucidário de Viterbo,"Con'cé, conhecer. Elucid.: conecer, cotiocer, cunucer.",conhecer,,145.0
535,Condiná,kondinaː,condenar,kõ.dɨ.ˈnaɾ,condemn,verb,,,,"Condiná, condemnar. Con-dinação, condemnação (t. us.).",condenar,,145.0
536,Condinação,kondinasaːo,condenação,kõ.dɨ.nɐ.ˈsɐ̃w̃,sentence,noun,,,,,condenação,,
537,Confessão,konfesaːo,confesso,kõ.ˈfɛ.su,confess,adjective,,Portuguese-based creoles of Indian mainland,,"Confessão, confesso (mais us.). Confesso: dialectal no cont. Cfr. professão; bén^a, relijio.",confesso,,145.0
538,confesso,konfeso,confesso,kõ.ˈfɛ.su,confess,adjective,,Portuguese-based creoles of Indian mainland,,"Confessão, confesso (mais us.). Confesso: dialectal no cont. Cfr. professão; bén^a, relijio.",confesso,,145.0
542,Conforma,konfoɾma,conforme,kõ.ˈfɔɾ.mɨ,in accordance,preposition,,,,"Conforma, conforme (mais us.).",conforme,,145.0
543,Confundá,konfundaː,confundir,kõ.fũ.ˈdiɾ,confuse,verb,,,,"Confunda, confundir.",confundir,,145.0
549,Consecração,konsekɾasaːo,consagração,kõ.sɐ.ɡɾɐ.ˈsɐ̃w̃,consecration,noun,,,,,consagração,,
550,Conselà,konselaː,consolar,kõ.su.ˈlaɾ,console,verb,,,,"Conselà, consolar. Con-selação, consalação, consolação. Conseledor, consolador.",consolar,,145.0
551,Conselação,konselasaːo,consolação,kõ.su.lɐ.ˈsɐ̃w̃,consolation,noun,,,,,consolação,,
552,consalação,konsalasaːo,consolação,kõ.su.lɐ.ˈsɐ̃w̃,consolation,noun,,,,,consolação,,
554,Conselyo,konselʲo,conselho,kõ.ˈse.ʎu,advice,noun,,,"O Bruffador, i periódico","Conseljo, conselho. Conse-Iharo {Br. i), conselhéro, con-",conselho,,145.0
560,Consistá,konsistaː,consistir,kõ.siʃ.ˈtiɾ,consist,verb,,,,"Consista, consistir.",consistir,,146.0
561,Constrangà,konstɾangaː,constranger,kõʃ.tɾɐ̃.ˈʒeɾ,constrain,verb,,,,"Constrangà, (A^. Tl), constranger (desus.).",constranger,,146.0
566,Contentado,kontentado,contente,kõ.ˈtẽ.tɨ,glad,adjective,,,,"Contentado, contente. Cfr. alegrado.",contente,,146.0
567,Conter,konteɾ,contra,ˈkõ.tɾɐ,against,preposition,,,,"Conter (fórm. mod.), contra.",contra,forma moderna,146.0
573,Contrairo,kontɾaiɾo,contrário,kõ.ˈtɾa.ɾju,contrary,noun,,Old Portuguese,,"Contrairo, contrario. — Port. arch.",contrario,,146.0
576,Conversão,konʋeɾsaːo,conversação,kõ.vɨɾ.sɐ.ˈsɐ̃w̃,conversation,noun,,,,"Conversão, conversação.— De conversa -\- ão. Cfr. decla-rão.",conversação,,146.0
578,Convertação,konʋeɾtasaːo,conversão,kõ.vɨɾ.ˈsɐ̃w̃,conversion,noun,,,,,conversão,,
579,Convidação,konʋidasaːo,convite,kõ.ˈvi.tɨ,invitation,noun,,,,"Convidação, convite. V. co-MíD.Í. Cfr. cuidação.",convite,,146.0
580,Convinçà,konʋinsaː,convencer,kõ.vẽ.ˈseɾ,convince,verb,,,,"Convinçà, convencer.",convencer,,146.0
586,Coragè,koɾad̠ʒeː,coragem,ku.ˈɾa.ʒɐ̃j̃,courage,noun,,,,"Coragè, corajo (mais us.), courajo, coragem. Corage-mente, corajosamente. Cfr. imajo, viajo; boventademente.",coragem,,146.0
587,corajo,koɾad̠ʒo,coragem,ku.ˈɾa.ʒɐ̃j̃,courage,noun,,,,"Coragè, corajo (mais us.), courajo, coragem. Corage-mente, corajosamente. Cfr. imajo, viajo; boventademente.",coragem,,146.0
588,courajo,kouɾad̠ʒo,coragem,ku.ˈɾa.ʒɐ̃j̃,courage,noun,,,,"Coragè, corajo (mais us.), courajo, coragem. Corage-mente, corajosamente. Cfr. imajo, viajo; boventademente.",coragem,,146.0
590,Cordà,koɾdaː,acordar,ɐ.kuɾ.ˈdaɾ,agree,verb,Macao creole,,,"Corda, cordiá (C, de N.), accordar. Dial. mac.",accordar,,146.0
591,cordià,koɾdiaː,acordar,ɐ.kuɾ.ˈdaɾ,agree,verb,Macao creole,,,"Corda, cordiá (C, de N.), accordar. Dial. mac.",accordar,,146.0
592,Cordè,koɾdeː,corda,ˈkɔɾ.dɐ,rope,noun,,,,"Cordè, corda (t. us.).",corda,,146.0
595,Corovà,koɾoʋaː,coroar,ku.ˈɾwaɾ,crown,verb,,,,"Corovà, coroar. Corovè, coroa. Cfr. perdová.",coroar,,146.0
596,Corovè,koɾoʋeː,coroa,ku.ˈɾo.ɐ,crown,noun,,,,,coroa,,
599,Correição,koreisaːo,correção,ku.Rɛ.ˈsɐ̃w̃,correction,noun,,Old Portuguese,,"Correição, correcção. — Port. arch.",correcção,,146.0
600,Correntè,korenteː,quarenta,kwɐ.ˈɾẽ.tɐ,forty,numeral,,,,"Corrente, currento, quarenta.",quarenta,,146.0
601,currento,kurento,quarenta,kwɐ.ˈɾẽ.tɐ,forty,numeral,,,,"Corrente, currento, quarenta.",quarenta,,146.0
602,Corruptido,koruptido,corrupto,ku.ˈRup.tu,corrupt,noun,,,,"Corruptido, corrupto. Cfr. confusado.",corrupto,,146.0
603,Côrto,koːɾto,curto,ˈkuɾ.tu,short,adjective,,,,"Corto, curto. Cfr. sôrdo: Dial. beirões, v.",curto,,146.0
604,Cósse,koːse,coice,ˈkoj.sɨ,kickback,noun,,,,"Cósse, couce. Cossià, cou-cear; recalcitrar.",couce,,146.0
606,Cossér,koseːɾ,coceira,ku.ˈsɐj.ɾɐ,itchy,noun,,,,"Cossér, coceira.",coceira,,146.0
608,Couraço,kouɾaso,couraça,kow.ˈɾa.sɐ,breastplate,noun,,,,"Couraço, couraça.",couraça,,146.0
616,Crem,kɾem,crer,ˈkɾeɾ,believe,verb,,,,"Crem {Br. 2), crer. — Con-trac. de creio em.",crer,,147.0
617,Crescentà,kɾesentaː,acrescentar,ɐ.kɾɨʃ.sẽ.ˈtaɾ,append,verb,Macao creole,,,"Crescentà, criscentá, ac-crescentar; augmentar (desus.). Crescentemento, crescento (mais us.), accrescentamento. Crescentá: dial. mac.",acrescentar,,147.0
618,criscentá,kɾisentaː,acrescentar,ɐ.kɾɨʃ.sẽ.ˈtaɾ,append,verb,Macao creole,,,"Crescentà, criscentá, ac-crescentar; augmentar (desus.). Crescentemento, crescento (mais us.), accrescentamento. Crescentá: dial. mac.",acrescentar,,147.0
619,Criançè,kɾianseː,criança,kɾi.ɐ̃.ˈsɐ,child,noun,,Dialectal Portuguese,,"Criançè, criença, crean-ça. — Criença: port. Dialetal Portuguese.",criança,,147.0
620,criença,kɾiensa,criança,kɾi.ɐ̃.ˈsɐ,child,noun,,Dialectal Portuguese,,"Criançè, criença, crean-ça. — Criença: port. Dialetal Portuguese.",criança,,147.0
622,Criscé,kɾiseː,crescer,kɾɨʃ.ˈseɾ,grow up,verb,,,,"Criscé, crise, crescer.",crescer,,147.0
623,crisé,kɾizeː,crescer,kɾɨʃ.ˈseɾ,grow up,verb,,,,"Criscé, crise, crescer.",crescer,,147.0
625,Cruveldade,kɾuʋeldade,crueldade,kɾu.ɛɫ.ˈda.dɨ,cruelty,noun,,,,"Oruveldade, crueldade (t. us.). Gfr. corovè.",crueldade,,147.0
629,Cuidade,kuidade,cuidado,kuj.ˈda.du,caution,noun,,Old Portuguese,,"Cuidade, cuidaçâo, cui-dança, cuidancè, cuidado (t. us.). Cuidadomente, cuida-demente, cuidadosamente. —■ Cuidaçâo: port. arch.",cuidado,,147.0
630,cuidação,kuidasaːo,cuidado,kuj.ˈda.du,caution,noun,,Old Portuguese,,"Cuidade, cuidaçâo, cui-dança, cuidancè, cuidado (t. us.). Cuidadomente, cuida-demente, cuidadosamente. —■ Cuidaçâo: port. arch.",cuidado,,147.0
631,cuidança,kuidansa,cuidado,kuj.ˈda.du,caution,noun,,Old Portuguese,,"Cuidade, cuidaçâo, cui-dança, cuidancè, cuidado (t. us.). Cuidadomente, cuida-demente, cuidadosamente. —■ Cuidaçâo: port. arch.",cuidado,,147.0
632,cuidancè,kuidanseː,cuidado,kuj.ˈda.du,caution,noun,,Old Portuguese,,"Cuidade, cuidaçâo, cui-dança, cuidancè, cuidado (t. us.). Cuidadomente, cuida-demente, cuidadosamente. —■ Cuidaçâo: port. arch.",cuidado,,147.0
639,Cum,kum,com,kõ,with,preposition,,,,"Cum, com (mais us.).",com,,147.0
641,Cum'sá,kuməsaː,começar,ku.mɨ.ˈsaɾ,begin,verb,Capeverdean creole,,,"Cum'sá, começar. Cum'sa-vè (poet.), começava. Dial. cab. cumçá.",começar,,147.0
642,Cupá,kupaː,ocupar,ɔ.ku.ˈpaɾ,occupy,verb,,,,"Cupã,, occupar. Cupação, occupação. Cfr. casião.",occupar,,147.0
643,Cupação,kupasaːo,ocupação,ɔ.ku.pɐ.ˈsɐ̃w̃,occupation.,noun,,,,,occupação,,
644,Curá,kuɾaː,correr,ku.ˈReɾ,run,verb,,,,"Cura {Br. i), correr.",correr,,147.0
645,Cural,kuɾal,curral,ku.ˈRaɫ,enclosure,noun,,,,"Curai, curral.",curral,,147.0
648,Cusá,kuzaː,coser,ku.ˈzeɾ,sew,verb,,,,"Cusá, coser.",coser,,147.0
650,Cúspi,kuːspi,cuspo,ˈkuʃ.pu,spit,noun,Macao creole,,,"Cuspi, cóspi (p. us.), cuspo. Cuspi: dial. mac. Cfr. prósmi.",cuspo,pouco usado,147.0
651,cóspi,koːspi,cuspo,ˈkuʃ.pu,spit,noun,Macao creole,,,"Cuspi, cóspi (p. us.), cuspo. Cuspi: dial. mac. Cfr. prósmi.",cuspo,pouco usado,147.0
654,Customà,kustomaː,costumar,kuʃ.tu.ˈmaɾ,use to,verb,,,,,costumar,,
660,Dádimo,daːdimo,dádiva,ˈda.di.vɐ,gift,noun,,,,"Dádimo, dadiva. P. us. V.  em, bater, espancar. Dahido, SAGoa creoleTE. espancado. Dial. coch. dali.",dadiva,pouco usado,147.0
663,Danaficà,danafikaː,danificar,dɐ.ni.fi.ˈkaɾ,damage,verb,,,,"Danaflcà, damnificar. Dana-",danificar,,148.0
666,Darté,daɾteː,derreter,dɨ.Rɨ.ˈteɾ,melt,verb,,,,"Dartê, derté (C /!.), derreter. Corr. norm. Cfr. carta.",derreter,,148.0
667,derté,deɾteː,derreter,dɨ.Rɨ.ˈteɾ,melt,verb,,,,"Dartê, derté (C /!.), derreter. Corr. norm. Cfr. carta.",derreter,,148.0
672,Dedia,dedia,dia,di.a,day,noun,,,,,dia,,
674,Declarão,deklaɾaːo,declaração,dɨ.klɐ.ɾɐ.ˈsɐ̃w̃,statement,noun,,,,,declaração,,
678,Deixa,deiʃa,deixar,dɐj.ˈʃaɾ,allow,verb,Macao creole,,,"Deixa, dessa (mais us.), deixar. Deixa nós fa^è, façamos. Dial. mac. deçá. Cfr. vamos.",deixar,,148.0
679,dessa,desa,deixar,dɐj.ˈʃaɾ,allow,verb,Macao creole,,,"Deixa, dessa (mais us.), deixar. Deixa nós fa^è, façamos. Dial. mac. deçá. Cfr. vamos.",deixar,,148.0
680,Demóni,demoːni,demónio,dɨ.ˈmɔ.nju,demon,noun,,,,"Demóni {Br. 2), demónio. Cfr. almári, vigári.",demónio,,148.0
682,Déntor,deːntoɾ,dentro,ˈdẽ.tɾu,inside,adverb,,,,,dentro,,
687,Desasparà,dezaspaɾaː,desesperar,dɨ.zɨʃ.pɨ.ˈɾaɾ,despair,verb,,,,,desesperar,,
688,Descargà,deskaɾgaː,descarregar,dɨʃ.kɐ.Rɨ.ˈɡaɾ,download,verb,,,,,descarregar,,
689,Desci,desi,descer,dɨʃ.ˈseɾ,descend,verb,,,,"Desci, descer.",descer,,148.0
691,Descompetido,deskompetido,inconveniente,ĩ.kõ.vɨ.ˈnjẽ.tɨ,inconvenient,adjective,,,,"Descompetido, inconveniente. Descompetidomente, inconvenientemente.",inconveniente,,148.0
693,Descontentado,deskontentado,descontente,dɨʃ.kõ.ˈtẽ.tɨ,unhappy,adjective,,,,"Descontentado, descontente. Cfr. contentado.",descontente,,148.0
694,Descuidação,deskuidasaːo,descuido,dɨʃ.ˈkuj.du,negligence,noun,,,,"Descuidação, descuidancè, descuido. Cfr. cuidação, ciii-dancè.",descuido,,148.0
695,descuidancè,deskuidanseː,descuido,dɨʃ.ˈkuj.du,negligence,noun,,,,"Descuidação, descuidancè, descuido. Cfr. cuidação, ciii-dancè.",descuido,,148.0
696,Deseijo,dezeid̠ʒo,desejo,dɨ.ˈzaj.ʒu,wish,noun,,,,"Deseijo, deselho, desejo. Deseijà, desejar. Cfr. meido.",desejo,,148.0
697,deselho,dezeʎo,desejo,dɨ.ˈzaj.ʒu,wish,noun,,,,"Deseijo, deselho, desejo. Deseijà, desejar. Cfr. meido.",desejo,,148.0
698,Deseijà,dezeid̠ʒaː,desejar,dɨ.zɨ.ˈʒaɾ,wish,verb,,,,,desejar,,
699,Desembarçan,dezembaɾsan,desembarque,dɨ.zẽ.ˈbaɾ.kɨ,disembarkation,noun,,,,"Desembarçan {Br. 2), desembarque.",desembarque,,148.0
702,Desempará,dezempaɾaː,desamparar,dɨ.zɐ̃.pɐ.ˈɾaɾ,forsake,verb,,,,,desamparar,,
703,desemprà,dezempɾaː,desamparar,dɨ.zɐ̃.pɐ.ˈɾaɾ,forsake,verb,,,,,desamparar,,
711,Deshonestade,deʃonestade,desonestidade,dɨ.zu.nɨʃ.ti.ˈda.dɨ,dishonesty,noun,,,Novo testamento,"Deshonestade (A^. 7"".), des-honestidade.",desonestidade,,148.0
712,Desià,deziaː,desejar,dɨ.zɨ.ˈʒaɾ,wish,verb,,,,"Desià, disià, dizia, desejar. Desio, disio, desejo. Cfr./e5-tiá, subia.",desejar,,148.0
713,disià,diziaː,desejar,dɨ.zɨ.ˈʒaɾ,wish,verb,,,,"Desià, disià, dizia, desejar. Desio, disio, desejo. Cfr./e5-tiá, subia.",desejar,,148.0
714,diziá,diziaː,desejar,dɨ.zɨ.ˈʒaɾ,wish,verb,,,,"Desià, disià, dizia, desejar. Desio, disio, desejo. Cfr./e5-tiá, subia.",desejar,,148.0
715,Desio,dezio,desejo,dɨ.ˈzaj.ʒu,wish,noun,,,,,desejo,,
716,disio,dizio,desejo,dɨ.ˈzaj.ʒu,wish,noun,,,,,desejo,,
719,Desemportado,dezempoɾtado,negligente,nɨ.ɡli.ˈʒẽ.tɨ,negligent,adjective,,,,,negligente,,
726,Desmasiação,dezmaziasaːo,demasia,dɨ.mɐ.ˈzi.ɐ,too much,noun,,,,"Desmasiação, demasia.",demasia,,149.0
728,Despadaçá,despadasaː,despedaçar,dɨʃ.pɨ.dɐ.ˈsaɾ,shatter,verb,,,,"Despadaçá, despedaçar. Cfr. padas.",despedaçar,,149.0
734,Despois,despojs,depois,dɨ.ˈpojʃ,after,adverb,,Dialectal Portuguese,,"Despois, depois. — Port. Dialetal Portuguese.",depois,,149.0
736,Desprazá,despɾazaː,desprezar,dɨʃ.pɾɨ.ˈzaɾ,despise,verb,,,,"Desprazá (Br. i), desprezar.",desprezar,,149.0
739,Desproveitoso,despɾoʋeitozo,inútil,i.ˈnu.tiɫ,useless ,adjective,,,,"Desproveitoso, inútil (de-sus.). — De desproveito.",inútil,,149.0
740,Destribuá,destɾibuaː,distribuir,dɨʃ.tɾi.ˈbwiɾ,spread,verb,,,,"Destribuá, distribuir. Des-tribuação, destribução, distribuição.",distribuir,,149.0
741,Destribuação,destɾibuasaːo,distribuição,dɨʃ.tɾi.bwi.ˈsɐ̃w̃,distribution,noun,,,,,distribuição,,
742,destribução,destɾibusaːo,distribuição,dɨʃ.tɾi.bwi.ˈsɐ̃w̃,distribution,noun,,,,,distribuição,,
743,Destruvé,destɾuʋeː,destruir,dɨʃ.tɾu.ˈiɾ,destroy,verb,,,,"Destruvé, destruvô, destrava {Br. i), destruir (t. us.). Destruiação, destruivição, destrucção, destruição.",destruir,,149.0
744,destruivé,destɾuiʋeː,destruir,dɨʃ.tɾu.ˈiɾ,destroy,verb,,,,"Destruvé, destruvô, destrava {Br. i), destruir (t. us.). Destruiação, destruivição, destrucção, destruição.",destruir,,149.0
745,destruvà,destɾuʋaː,destruir,dɨʃ.tɾu.ˈiɾ,destroy,verb,,,,"Destruvé, destruvô, destrava {Br. i), destruir (t. us.). Destruiação, destruivição, destrucção, destruição.",destruir,,149.0
746,Destruiação,destɾuiasaːo,destruição,dɨʃ.tɾu.i.ˈsɐ̃w̃,destruction,noun,,,,,destruição,,
747,destruivição,destɾuiʋisaːo,destruição,dɨʃ.tɾu.i.ˈsɐ̃w̃,destruction,noun,,,,,destruição,,
748,destrucção,destɾuksaːo,destruição,dɨʃ.tɾu.i.ˈsɐ̃w̃,destruction,noun,,,,,destruição,,
751,Dettà,detːaː,deitar,dɐj.ˈtaɾ,lay,verb,Capeverdean creole,Dialetal Portuguese Alentejo,,"Dettà, deitar. Dial. cab. detâ. Dial. alemtej. dêtér.",deitar,,149.0
763,Dezoitè,dezojteː,dezoito,dɨ.ˈzoj.tu,eighteen,numeral,,,,"Dezoitè, dezoito (mais us.).",dezoito,,149.0
769,Differéncia,difeɾeːnsia,diferença,di.fɨ.ˈɾẽ.sɐ,difference,noun,,,,"DifiFeréncia, differença. Cfr. defenda, justicia.",differença,,149.0
772,Disaccordancè,dizakoɾdanseː,desacordo,dɨ.zɐ.ˈkoɾ.du,disagreement.,noun,,,,"Disaccordancè, desaccordo. Cfr. accordancè.",desaccordo,,149.0
774,Discé,diseː,descer,dɨʃ.ˈseɾ,go down,verb,,,,"Discé, descer. T. desci.",descer,,149.0
775,Discendé,disendeː,descer,dɨʃ.ˈseɾ,go down,verb,,Old Portuguese,,"Discendé, descer. — Port. arch. descender.",descer,,149.0
776,Discerto,diseɾto,incerto,ĩ.ˈsɛɾ.tu,uncertain,adjective,,,,"Discerto, incerto. Ctr. dis-Jiel, desfruitoso.",incerto,,150.0
777,Discete,disete,dezassete,dɨ.zɐ.ˈsɛ.tɨ,seventeen,numeral,,,,"Discete, dezasete.",dezasete,,150.0
778,Disciplo,disiplo,discípulo,dɨʃ.ˈsi.pu.lu,disciple,noun,,,,"Disoiplo, discípulo. Cfr. ta-bernaclo.",discípulo,,150.0
779,Disconfiador,diskonfiadoɾ,infiel,ĩ.ˈfjɛɫ,infidel,adjective,,,,"Disconfiador, infiel. Dis-confiadeira, infiel. Cfr. con-fiadeira, mercadeira.",infiel,,150.0
780,Disconfiadeira,diskonfiadeiɾa,infiel,ĩ.ˈfjɛɫ,infidel,adjective,,,,,infiel,,
