SriLanka_creole,phonetic_transcription,phono_TRSVD,phono_CV
Gotiá,gotiaː,TV.TV.V,CV.CV.V
Gran,gɾan,TRVR,CCVC
Greja,gɾed̠ʒa,TRV.TV,CCV.CV
Grijo,gɾid̠ʒo,TRV.TV,CCV.CV
Guerrà,geraː,TV.RV,CV.CV
Harpo,aɾpo,VR.TV,VC.CV
Herdança,eɾdansa,VR.TVR.SV,VC.CVC.CV
Heregia,eɾed̠ʒia,V.RV.TV.V,V.CV.CV.V
herecia,eɾesia,V.RV.SV.V,V.CV.CV.V
Heridá,eɾidaː,V.RV.TV,V.CV.CV
Histórè,istoːɾeː,VS.TV.RV,VC.CV.CV
Hojo,od̠ʒo,V.TV,V.CV
hôjoe,oːd̠ʒoe,V.TV.V,V.CV.V
Home,ome,V.RV,V.CV
homi,omi,V.RV,V.CV
Homicido,omisido,V.RV.SV.TV,V.CV.CV.CV
Honeste,oneste,V.RVS.TV,V.CVC.CV
Humildo,umildo,V.RVR.TV,V.CVC.CV
Humildeza,umildeza,V.RVR.TV.SV,V.CVC.CV.CV
Humiliação,umiliasaːo,V.RVRV.V.SV.V,V.CVCV.V.CV.V
Idolateiro,idolateiɾo,V.TV.RV.TVG.RV,V.CV.CV.CVG.CV
idoloteiro,idoloteiɾo,V.TV.RV.TVG.RV,V.CV.CV.CVG.CV
Ilya,ilʲa,V.RV,V.CV
Imajo,imad̠ʒo,V.RV.TV,V.CV.CV
Impioso,impiozo,VR.TV.V.SV,VC.CV.V.CV
Importado,impoɾtado,VR.TVR.TV.TV,VC.CVC.CV.CV
Importança,impoɾtansa,VR.TVR.TVR.SV,VC.CVC.CVC.CV
Impressado,impɾesado,VR.TRV.SV.TV,VC.CCV.CV.CV
Impressador,impɾesadoɾ,VR.TRV.SV.TVR,VC.CCV.CV.CVC
Impuridade,impuɾidade,VR.TV.RV.TV.TV,VC.CV.CV.CV.CV
Infruitoso,infɾuitozo,VR.TRV.V.TV.SV,VC.CCV.V.CV.CV
Ingres,ingɾes,VR.TRVS,VC.CCVC
Injoelho,ind̠ʒoeʎo,VR.TV.V.RV,VC.CV.V.CV
injivelho,ind̠ʒiʋeʎo,VR.TV.TV.RV,VC.CV.CV.CV
injevejo,ind̠ʒeʋed̠ʒo,VR.TV.TV.TV,VC.CV.CV.CV
injivejo,ind̠ʒiʋed̠ʒo,VR.TV.TV.TV,VC.CV.CV.CV
Instruição,instɾuisaːo,VRS.TRV.V.SV.V,VCC.CCV.V.CV.V
Intergridade,inteɾgɾidade,VR.TVR.TRV.TV.TV,VC.CVC.CCV.CV.CV
Intrudição,intɾudisaːo,VR.TRV.TV.SV.V,VC.CCV.CV.CV.V
Inveijo,inʋeid̠ʒo,VR.TVG.TV,VC.CVG.CV
Iremão,iɾemaːo,V.RVRV.V,V.CVCV.V
Irmana,iɾmana,VR.RV.RV,VC.CV.CV
Istôri,istoːɾi,VS.TV.RV,VC.CV.CV
Jà,d̠ʒaː,TV,CV
Jàsper,d̠ʒaːspeɾ,TVS.TVR,CVC.CVC
Javi,d̠ʒaʋi,TV.TV,CV.CV
javitem,d̠ʒaʋitem,TV.TV.TVR,CV.CV.CVC
Jinjúa,d̠ʒind̠ʒuːa,TVR.TV.V,CVC.CV.V
jinúa,d̠ʒinuːa,TV.RV.V,CV.CV.V
jinjunação,d̠ʒind̠ʒunasaːo,TVR.TV.RV.SV.V,CVC.CV.CV.CV.V
Jinjuá,d̠ʒind̠ʒuaː,TVR.TV.V,CVC.CV.V
Jornado,d̠ʒoɾnado,TVR.RV.TV,CVC.CV.CV
Judá,d̠ʒudaː,TV.TV,CV.CV
judè,d̠ʒudeː,TV.TV,CV.CV
judança,d̠ʒudansa,TV.TVR.SV,CV.CVC.CV
Juntação,d̠ʒuntasaːo,TVR.TV.SV.V,CVC.CV.CV.V
Junto-servidor,d̠ʒunto seɾʋidoɾ,TVR.TV SVR.TV.TVR,CVC.CV CVC.CV.CVC
Justá,d̠ʒustaː,TVS.TV,CVC.CV
Justicia,d̠ʒustisia,TVS.TV.SV.V,CVC.CV.CV.V
Kokeira,kokeiɾa,TV.TVG.RV,CV.CVG.CV
Ladinha,ladiɲa,RV.TV.RV,CV.CV.CV
Lagárè,lagaːɾeː,RV.TV.RV,CV.CV.CV
Lágri,laːgɾi,RV.TRV,CV.CCV
láguir,laːgiɾ,RV.TVR,CV.CVC
Lampo,lampo,RVR.TV,CVC.CV
Lantá,lantaː,RVR.TV,CVC.CV
Lastimo,lastimo,RVS.TV.RV,CVC.CV.CV
Lastro,lastɾo,RVS.TRV,CVC.CCV
lástor,laːstoɾ,RVS.TVR,CVC.CVC
Lego,lego,RV.TV,CV.CV
leagou,leagou,RV.V.TVG,CV.V.CVG
Lei,lei,RVG,CVG
Lés,leːs,RVS,CVC
lez,les,RVS,CVC
leis,leis,RVGS,CVGC
Lés,leːs,RVS,CVC
Lestemente,lestemente,RVS.TV.RVR.TV,CVC.CV.CVC.CV
Léte,leːte,RV.TV,CV.CV
Levadura,leʋaduɾa,RV.TV.TV.RV,CV.CV.CV.CV
Leventà,leʋentaː,RV.TVR.TV,CV.CVC.CV
Lingo,lingo,RVR.TV,CVC.CV
Liverdade,liʋeɾdade,RV.TVR.TV.TV,CV.CVC.CV.CV
livradade,liʋɾadade,RV.TRV.TV.TV,CV.CCV.CV.CV
Livrança,liʋɾansa,RV.TRVR.SV,CV.CCVC.CV
livrancè,liʋɾanseː,RV.TRVR.SV,CV.CCVC.CV
livração,liʋɾasaːo,RV.TRV.SV.V,CV.CCV.CV.V
Ló,loː,RV,CV
Loità,lojtaː,RVR.TV,CVC.CV
Louvro,louʋɾo,RVG.TRV,CVG.CCV
Lovà,loʋaː,RV.TV,CV.CV
Lugàra,lugaːɾa,RV.TV.RV,CV.CV.CV
Iugàrè,iugaːɾeː,V.V.TV.RV,V.V.CV.CV
Iugària,iugaːɾia,V.V.TV.RV.V,V.V.CV.CV.V
Luguéra,lugeːɾa,RV.TV.RV,CV.CV.CV
Lumado,lumado,RV.RV.TV,CV.CV.CV
Luzé,luzeː,RV.SV,CV.CV
Mação,masaːo,RV.SV.V,CV.CV.V
Madergà,madeɾgaː,RV.TVR.TV,CV.CVC.CV
Magovà,magoʋaː,RV.TV.TV,CV.CV.CV
maguvà,maguʋaː,RV.TV.TV,CV.CV.CV
Mai,mai,RV.V,CV.V
Major,mad̠ʒoɾ,RV.TVR,CV.CVC
Malfetor,malfetoɾ,RVR.TV.TVR,CVC.CV.CVC
Malino,malino,RV.RVRV,CV.CVCV
Manhão,maɲaːo,RV.RV.V,CV.CV.V
Manhecé,maɲeseː,RV.RV.SV,CV.CV.CV
manecê,maneseː,RV.RV.SV,CV.CV.CV
Mára,maːɾa,RV.RV,CV.CV
marè,maɾeː,RV.RV,CV.CV
Marello,maɾelo,RV.RVRV,CV.CVCV
Marga,maɾga,RVR.TV,CVC.CV
Margôra,maɾgoːɾa,RVR.TV.RV,CVC.CV.CV
Mármor,maːɾmoɾ,RVR.RVR,CVC.CVC
màrmar,maːɾmaɾ,RVR.RVR,CVC.CVC
Martellè,maɾteleː,RVR.TV.RV,CVC.CV.CV
martél,maɾteːl,RVR.TVR,CVC.CVC
Marvioso,maɾʋiozo,RVR.TV.V.SV,CVC.CV.V.CV
Matação,matasaːo,RV.TV.SV.V,CV.CV.CV.V
matança,matansa,RV.TVR.SV,CV.CVC.CV
Medè,medeː,RV.TV,CV.CV
Meido,meido,RVG.TV,CVG.CV
Mellifluoso,melifluozo,RV.RV.TRV.V.SV,CV.CV.CCV.V.CV
Memo,memo,RV.RV,CV.CV
Méo,meːo,RV.V,CV.V
Mercê,meɾseː,RVR.SV,CVC.CV
Merecê,meɾeseː,RV.RV.SV,CV.CV.CV
Meritória,meɾitoːɾia,RV.RV.TV.RV.V,CV.CV.CV.CV.V
Mès,meːs,RVS,CVC
méis,meːjs,RVRS,CVCC
Méssa,meːsa,RV.SV,CV.CV
Messá,mesaː,RV.SV,CV.CV
Militàrio,militaːɾio,RV.RV.TV.RV.V,CV.CV.CV.CV.V
Mimôri,mimoːɾi,RV.RVRV,CV.CVCV
Ministeiro,ministeiɾo,RV.RVS.TVG.RV,CV.CVC.CVG.CV
Ministração,ministɾasaːo,RV.RVS.TRV.SV.V,CV.CVC.CCV.CV.V
Minteira,minteiɾa,RVR.TVG.RV,CVC.CVG.CV
Mira,miɾa,RV.RV,CV.CV
Misaravel,mizaɾaʋel,RV.SV.RV.TVR,CV.CV.CV.CVC
misravel,mizɾaʋel,RVS.RV.TVR,CVC.CV.CVC
Misricordia,mizɾikoɾdia,RVS.RV.TVR.TV.V,CVC.CV.CVC.CV.V
misrecordia,mizɾekoɾdia,RVS.RV.TVR.TV.V,CVC.CV.CVC.CV.V
Mistrá,mistɾaː,RVS.TRV,CVC.CCV
Moito,mojto,RVR.TV,CVC.CV
Montanho,montaɲo,RVR.TV.RV,CVC.CV.CV
Morra,mora,RV.RV,CV.CV
Mortajo,moɾtad̠ʒo,RVR.TV.TV,CVC.CV.CV
Mortià,moɾtiaː,RVR.TV.V,CVC.CV.V
Mostárdè,mostaːɾdeː,RVS.TVR.TV,CVC.CVC.CV
Mourdé,mouɾdeː,RVGR.TV,CVGC.CV
Movà,moʋaː,RV.TV,CV.CV
Muê,mueː,RV.V,CV.V
muá,muaː,RV.V,CV.V
Mudáncè,mudaːnseː,RV.TVR.SV,CV.CVC.CV
mudação,mudasaːo,RV.TV.SV.V,CV.CV.CV.V
Mudano,mudano,RV.TV.RV,CV.CV.CV
Mundoso,mundozo,RVR.TV.SV,CVC.CV.CV
Murguiá,muɾgiaː,RVR.TV.V,CVC.CV.V
Mustrà,mustɾaː,RVS.TRV,CVC.CCV
Mystéria,misteːɾia,RVS.TV.RV.V,CVC.CV.CV.V
Nan,,RVR,CVC
Navigà,naʋigaː,RV.TV.TV,CV.CV.CV
Necestade,nesestade,RV.SVS.TV.TV,CV.CVC.CV.CV
Negócia,negoːsia,RV.TV.SV.V,CV.CV.CV.V
Nistá,nistaː,RVS.TV,CVC.CV
Nistade,nistade,RVS.TV.TV,CVC.CV.CV
Nó,noː,RV,CV
nuó,nuoː,RV.V,CV.V
Nóber,noːbeɾ,RV.TVR,CV.CVC
Nocente,nosente,RV.SVR.TV,CV.CVC.CV
nocenti,nosenti,RV.SVR.TV,CV.CVC.CV
Nogo,nogo,RV.TV,CV.CV
Nonca,nonka,RVR.TV,CVC.CV
nonco,nonko,RVR.TV,CVC.CV
nuca,nuka,RV.TV,CV.CV
núcu,nuːku,RV.TV,CV.CV
Nono,nono,RV.RV,CV.CV
Nóvis,noːʋis,RV.TVS,CV.CVC
Num,num,RVR,CVC
nun,nun,RVR,CVC
Nunca,nunka,RVR.TV,CVC.CV
nunco,nunko,RVR.TV,CVC.CV
Nuvè,nuʋeː,RV.TV,CV.CV
Ô,oː,V,V
Obedicé,obediseː,V.TV.TV.SV,V.CV.CV.CV
obdecé,obdeseː,V.T.TV.SV,V.C.CV.CV
Obre,obɾe,V.TRV,V.CCV
óber,oːbeɾ,V.TVR,V.CVC
Obração,obɾasaːo,V.TRV.SV.V,V.CCV.CV.V
Obrigacè,obɾigaseː,V.TRV.TV.SV,V.CCV.CV.CV
Ódia,oːdia,V.TV.V,V.CV.V
Offercé,ofeɾseː,V.TVR.SV,V.CVC.CV
Offercimento,ofeɾsimento,V.TVR.SV.RVR.TV,V.CVC.CV.CVC.CV
offeração,ofeɾasaːo,V.TV.RV.SV.V,V.CV.CV.CV.V
offerça,ofeɾsa,V.TVR.SV,V.CVC.CV
offerço,ofeɾso,V.TVR.SV,V.CVC.CV
Olyo,olʲo,V.RV,V.CV
Ontà,ontaː,VR.TV,VC.CV
Onte,onte,VR.TV,VC.CV
ónti,oːnti,VR.TV,VC.CV
ónta,oːnta,VR.TV,VC.CV
Oratória,oɾatoːɾia,V.RV.TV.RV.V,V.CV.CV.CV.V
Ordinà,oɾdinaː,VR.TV.RV,VC.CV.CV
Ortelão,oɾtelaːo,VR.TV.RV.V,VC.CV.CV.V
Orvai,oɾʋai,VR.TV.V,VC.CV.V
oravai,oɾaʋai,V.RV.TV.V,V.CV.CV.V
Otro,otɾo,V.TRV,V.CCV
outrè,outɾeː,VG.TRV,VG.CCV
Oura,ouɾa,VG.RV,VG.CV
óru,oːɾu,V.RV,V.CV
Ouvida,ouʋida,VG.TV.TV,VG.CV.CV
ovido,oʋido,V.TV.TV,V.CV.CV
ovida,oʋida,V.TV.TV,V.CV.CV
Ovelho,oʋeʎo,V.TV.RV,V.CV.CV
Padaço,padaso,TV.TV.SV,CV.CV.CV
padas,padas,TV.TVS,CV.CVC
padaz,padas,TV.TVS,CV.CVC
Padicé,padiseː,TV.TV.SV,CV.CV.CV
Palàver,palaːʋeɾ,TV.RV.TVR,CV.CV.CVC
pàlver,paːlʋeɾ,TVR.TVR,CVC.CVC
pàlvra,paːlʋɾa,TVR.TRV,CVC.CCV
Pamperlão,pampeɾlaːo,TVR.TVR.RV.V,CVC.CVC.CV.V
Pan,pan,TVR,CVC
Pancádè,pankaːdeː,TVR.TV.TV,CVC.CV.CV
pancado,pankado,TVR.TV.TV,CVC.CV.CV
Panhà,paɲaː,TV.RV,CV.CV
Papiá,papiaː,TV.TV.V,CV.CV.V
Par,paɾ,TVR,CVC
Parçaria,paɾsaɾia,TVR.SV.RV.V,CVC.CV.CV.V
Paridura,paɾiduɾa,TV.RV.TV.RV,CV.CV.CV.CV
Parentesca,paɾenteska,TV.RVR.TVS.TV,CV.CVC.CVC.CV
Parpora,paɾpoɾa,TVR.TV.RV,CVC.CV.CV
Parque,paɾke,TVR.TV,CVC.CV
parqui,paɾki,TVR.TV,CVC.CV
Pàrtei,paːɾtei,TVR.TVG,CVC.CVG
Paçá,pasaː,TV.SV,CV.CV
Pascencia,pasensia,TV.SVR.SV.V,CV.CVC.CV.V
Pastempo,pastempo,TVS.TVR.TV,CVC.CVC.CV
Pateca,pateka,TV.TV.TV,CV.CV.CV
Pavi,paʋi,TV.TV,CV.CV
Péci,peːsi,TV.SV,CV.CV
pési,peːzi,TV.SV,CV.CV
Pedrejà,pedɾed̠ʒaː,TV.TRV.TV,CV.CCV.CV
pedreyà,pedɾejaː,TV.TRV.RV,CV.CCV.CV
pedriá,pedɾiaː,TV.TRV.V,CV.CCV.V
Pei,pei,TVG,CVG
Péli,peːli,TV.RV,CV.CV
Pelo,pelo,TV.RV,CV.CV
Pelour,pelouɾ,TV.RVGR,CV.CVGC
Penerá,peneɾaː,TV.RVRV,CV.CVCV
Pequinino,pekinino,TV.TV.RVRV,CV.CV.CVCV
Perdá,peɾdaː,TVR.TV,CVC.CV
Perdovà,peɾdoʋaː,TVR.TV.TV,CVC.CV.CV
Perfeitado,peɾfeitado,TVR.TVG.TV.TV,CVC.CVG.CV.CV
Perigreneção,peɾigɾenesaːo,TV.RV.TRV.RV.SV.V,CV.CV.CCV.CV.CV.V
Perla,peɾla,TVR.RV,CVC.CV
Permittá,peɾmitːaː,TVR.RV.TV,CVC.CV.CV
Perseguaição,peɾseguaisaːo,TVR.SV.TV.VG.SV.V,CVC.CV.CV.VG.CV.V
Persuaidir,peɾsuaidiɾ,TVR.SV.VG.TVR,CVC.CV.VG.CVC
Pertruvà,peɾtɾuʋaː,TVR.TRV.TV,CVC.CCV.CV
Pessõa,pesoːa,TV.SV.V,CV.CV.V
peason,peazon,TV.V.SVR,CV.V.CVC
pessão,pesaːo,TV.SV.V,CV.CV.V
pessan,pesan,TV.SVR,CV.CVC
Péstia,peːstia,TVS.TV.V,CVC.CV.V
Péto,peːto,TV.TV,CV.CV
Piadade,piadade,TV.V.TV.TV,CV.V.CV.CV
Piadoso,piadozo,TV.V.TV.SV,CV.V.CV.CV
pidoso,pidozo,TV.TV.SV,CV.CV.CV
Pidé,pideː,TV.TV,CV.CV
Pindurá,pinduɾaː,TVR.TV.RV,CVC.CV.CV
Pindrado,pindɾado,TVR.TRV.TV,CVC.CCV.CV
Pinhor,piɲoɾ,TV.RVR,CV.CVC
Pirigo,piɾigo,TV.RV.TV,CV.CV.CV
Piregoso,piɾegozo,TV.RV.TV.SV,CV.CV.CV.CV
Piscôs,piskoːs,TVS.TVS,CVC.CVC
Plaga,plaga,TRV.TV,CCV.CV
plágu,plaːgu,TRV.TV,CCV.CV
Plan,plan,TRVR,CCVC
Plánchè,plaːnt̠ʃeː,TRVR.TV,CCVC.CV
Planétè,planeːteː,TRV.RV.TV,CCV.CV.CV
Plenidão,plenidaːo,TRV.RV.TV.V,CCV.CV.CV.V
Póco,poːko,TV.TV,CV.CV
Podéra,podeːɾa,TV.TV.RV,CV.CV.CV
Pódeser,poːdezeɾ,TV.TV.SVR,CV.CV.CVC
pódiser,poːdizeɾ,TV.TV.SVR,CV.CV.CVC
Po'e,poəe,TV.VV,CV.VV
poi,poj,TVR,CVC
Porcadade,poɾkadade,TVR.TV.TV.TV,CVC.CV.CV.CV
Possebé,posebeː,TV.SV.TV,CV.CV.CV
possibé,posibeː,TV.SV.TV,CV.CV.CV
pos-suibé,pos suibeː,TVS SV.V.TV,CVC CV.V.CV
Póssia,poːsia,TV.SV.V,CV.CV.V
Pouches,pout̠ʃes,TVG.TVS,CVG.CVC
póuchis,poːut̠ʃis,TV.V.TVS,CV.V.CVC
Povoção,poʋosaːo,TV.TV.SV.V,CV.CV.CV.V
povesan,poʋezan,TV.TV.SVR,CV.CV.CVC
Prandè,pɾandeː,TRVR.TV,CCVC.CV
Pranta,pɾanta,TRVR.TV,CCVC.CV
Prato,pɾato,TRV.TV,CCV.CV
Prazero,pɾazeɾo,TRV.SV.RV,CCV.CV.CV
prazeiro,pɾazeiɾo,TRV.SVG.RV,CCV.CVG.CV
Prendé,pɾendeː,TRVR.TV,CCVC.CV
prendá,pɾendaː,TRVR.TV,CCVC.CV
prandé,pɾandeː,TRVR.TV,CCVC.CV
Prendo,pɾendo,TRVR.TV,CCVC.CV
prendá,pɾendaː,TRVR.TV,CCVC.CV
Prénha,pɾeːɲa,TRV.RV,CCV.CV
prenhe,pɾeɲe,TRV.RV,CCV.CV
Prensa,pɾensa,TRVR.SV,CCVC.CV
prenso,pɾenso,TRVR.SV,CCVC.CV
Presa,pɾeza,TRV.SV,CCV.CV
Preso-casa,pɾezo kaza,TRV.SV TV.SV,CCV.CV CV.CV
Preséncia,pɾezeːnsia,TRV.SVR.SV.V,CCV.CVC.CV.V
presènci,pɾezeːnsi,TRV.SVR.SV,CCV.CVC.CV
Preso,pɾezo,TRV.SV,CCV.CV
prezo,pɾezo,TRV.SV,CCV.CV
Primeté,pɾimeteː,TRV.RV.TV,CCV.CV.CV
primité,pɾimiteː,TRV.RV.TV,CCV.CV.CV
primitá,pɾimitaː,TRV.RV.TV,CCV.CV.CV
Premitido,pɾemitido,TRV.RV.TV.TV,CCV.CV.CV.CV
Princézè,pɾinseːzeː,TRVR.SV.SV,CCVC.CV.CV
Principalidado,pɾinsipalidado,TRVR.SV.TV.RV.TV.TV,CCVC.CV.CV.CV.CV.CV
Prinspo,pɾinspo,TRVRS.TV,CCVCC.CV
prenspo,pɾenspo,TRVRS.TV,CCVCC.CV
Privilézia,pɾiʋileːzia,TRV.TV.RV.SV.V,CCV.CV.CV.CV.V
privilézè,pɾiʋileːzeː,TRV.TV.RV.SV,CCV.CV.CV.CV
Professão,pɾofesaːo,TRV.TV.SV.V,CCV.CV.CV.V
Profundura,pɾofunduɾa,TRV.TVR.TV.RV,CCV.CVC.CV.CV
Propheciá,pɾofesiaː,TRV.TV.SV.V,CCV.CV.CV.V
Propheto,pɾofeto,TRV.TV.TV,CCV.CV.CV
Própi,pɾoːpi,TRV.TV,CCV.CV
Prósimo,pɾoːzimo,TRV.SV.RV,CCV.CV.CV
prózimo,pɾoːzimo,TRV.SV.RV,CCV.CV.CV
prosmo,pɾozmo,TRVS.RV,CCVC.CV
prósmi,pɾoːzmi,TRVS.RV,CCVC.CV
Provéita,pɾoʋeːjta,TRV.TVR.TV,CCV.CVC.CV
Proveitá,pɾoʋeitaː,TRV.TVG.TV,CCV.CVG.CV
pruveitá,pɾuʋeitaː,TRV.TVG.TV,CCV.CVG.CV
Pruffia,pɾufia,TRV.TV.V,CCV.CV.V
profia,pɾofia,TRV.TV.V,CCV.CV.V
Prugunta,pɾugunta,TRV.TVR.TV,CCV.CVC.CV
prunta,pɾunta,TRVR.TV,CCVC.CV
pruntè,pɾunteː,TRVR.TV,CCVC.CV
prunto,pɾunto,TRVR.TV,CCVC.CV
Pruvá,pɾuʋaː,TRV.TV,CCV.CV
prouvá,pɾouʋaː,TRVG.TV,CCVG.CV
Puçá,pusaː,TV.SV,CV.CV
pusá,puzaː,TV.SV,CV.CV
Quadrilla,kuadɾila,TV.V.TRV.RV,CV.V.CCV.CV
Quártrimo,kuaːɾtɾimo,TV.VR.TRV.RV,CV.VC.CCV.CV
Quátor,kuaːtoɾ,TV.V.TVR,CV.V.CVC
Quem,kem,TVR,CVC
Quemadura,kemaduɾa,TV.RV.TV.RV,CV.CV.CV.CV
Quenhão,keɲaːo,TV.RV.V,CV.CV.V
quinha,kiɲa,TV.RV,CV.CV
Querré,kereː,TV.RV,CV.CV
Querendomente,keɾendomente,TV.RVR.TV.RVR.TV,CV.CVC.CV.CVC.CV
querandomente,keɾandomente,TV.RVR.TV.RVR.TV,CV.CVC.CV.CVC.CV
Querer,keɾeɾ,TV.RVR,CV.CVC
queria,keɾia,TV.RV.V,CV.CV.V
querria,keria,TV.RV.V,CV.CV.V
Quessador,kesadoɾ,TV.SV.TVR,CV.CV.CVC
Quetanto,ketanto,TV.TVR.TV,CV.CVC.CV
qutanto,kutanto,TV.TVR.TV,CV.CVC.CV
Quorenta,kuoɾenta,TV.V.RVR.TV,CV.V.CVC.CV
Rancá,rankaː,RVR.TV,CVC.CV
ranchá,rant̠ʃaː,RVR.TV,CVC.CV
Rastá,rastaː,RVS.TV,CVC.CV
Rebeldo,rebeldo,RV.TVR.TV,CV.CVC.CV
Rebelloso,rebelozo,RV.TV.RV.SV,CV.CV.CV.CV
Recia,resia,RV.SV.V,CV.CV.V
Reciá,resiaː,RV.SV.V,CV.CV.V
Recompensão,rekompensaːo,RV.TVR.TVR.SV.V,CV.CVC.CVC.CV.V
Redá,redaː,RV.TV,CV.CV
Refença,refensa,RV.TVR.SV,CV.CVC.CV
refencia,refensia,RV.TVR.SV.V,CV.CVC.CV.V
Refujo,refud̠ʒo,RV.TV.TV,CV.CV.CV
Registração,red̠ʒistɾasaːo,RV.TVS.TRV.SV.V,CV.CVC.CCV.CV.V
Regolá,regolaː,RV.TV.RV,CV.CV.CV
Rendá,rendaː,RVR.TV,CVC.CV
Rependimento,rependimento,RV.TVR.TV.RVR.TV,CV.CVC.CV.CVC.CV
Repentação,repentasaːo,RV.TVR.TV.SV.V,CV.CVC.CV.CV.V
Repostá,repostaː,RV.TVS.TV,CV.CVC.CV
Reprende,repɾende,RV.TRVR.TV,CV.CCVC.CV
Requedação,rekedasaːo,RV.TV.TV.SV.V,CV.CV.CV.CV.V
Resgueto,rezgeto,RVS.TV.TV,CVC.CV.CV
Resolvá,rezolʋaː,RV.SVR.TV,CV.CVC.CV
Respeitado,respeitado,RVS.TVG.TV.TV,CVC.CVG.CV.CV
Respéto,respeːto,RVS.TV.TV,CVC.CV.CV
Responsibilidade,responsibilidade,RVS.TVR.SV.TV.RV.TV.TV,CVC.CVC.CV.CV.CV.CV.CV
Restanto,restanto,RVS.TVR.TV,CVC.CVC.CV
Rexinol,reʃinol,RV.TV.RVR,CV.CV.CVC
Rezão,rezaːo,RV.SV.V,CV.CV.V
rezan,rezan,RV.SVR,CV.CVC
Revolá,reʋolaː,RV.TV.RV,CV.CV.CV
Riu,riu,RV.V,CV.V
Róla,roːla,RV.RV,CV.CV
Rompá,rompaː,RVR.TV,CVC.CV
Ronchà,ront̠ʃaː,RVR.TV,CVC.CV
Rubá,rubaː,RV.TV,CV.CV
Rudela,rudela,RV.TV.RV,CV.CV.CV
Ruino,ruino,RV.V.RV,CV.V.CV
ruvína,ruʋiːna,RV.TV.RV,CV.CV.CV
ruvinação,ruʋinasaːo,RV.TV.RV.SV.V,CV.CV.CV.CV.V
Ruiná,ruinaː,RV.V.RV,CV.V.CV
ruviná,ruʋinaː,RV.TV.RV,CV.CV.CV
Rumpé,rumpeː,RVR.TV,CVC.CV
Ruva,ruʋa,RV.TV,CV.CV
Saberoso,sabeɾozo,SV.TV.RV.SV,CV.CV.CV.CV
sabaroso,sabaɾozo,SV.TV.RV.SV,CV.CV.CV.CV
sabroso,sabɾozo,SV.TRV.SV,CV.CCV.CV
Sahinho,saiɲo,SV.V.RV,CV.V.CV
Salutação,salutasaːo,SV.RV.TV.SV.V,CV.CV.CV.CV.V
Sandê,sandeː,SVR.TV,CVC.CV
sandà,sandaː,SVR.TV,CVC.CV
Santildade,santildade,SVR.TVR.TV.TV,CVC.CVC.CV.CV
Sará,saɾaː,SV.RV,CV.CV
Sarado,saɾado,SV.RV.TV,CV.CV.CV
Satisfazido,satisfazido,SV.TVS.TV.SV.TV,CV.CVC.CV.CV.CV
Saudição,saudisaːo,SVG.TV.SV.V,CVG.CV.CV.V
Saúdo,sauːdo,SVG.TV,CVG.CV
saudo-dia,saudo dia,SVG.TV TV.V,CVG.CV CV.V
Seguente,segente,SV.TVR.TV,CV.CVC.CV
segunte,segunte,SV.TVR.TV,CV.CVC.CV
Seguindo,segindo,SV.TVR.TV,CV.CVC.CV
Seguradomente,seguɾadomente,SV.TV.RV.TV.RVR.TV,CV.CV.CV.CV.CVC.CV
Seisenta,seizenta,SVG.SVR.TV,CVG.CVC.CV
Seite,seite,SVG.TV,CVG.CV
Semalhança,semaʎansa,SV.RVRVR.SV,CV.CVCVC.CV
semeIhancè,semeianseː,SV.RVG.VR.SV,CV.CVG.VC.CV
Sementria,sementɾia,SV.RVR.TRV.V,CV.CVC.CCV.V
Sen,sen,SVR,CVC
Senan,senan,SV.RVR,CV.CVC
Senhoris,seɲoɾis,SV.RVRVS,CV.CVCVC
Sentencia,sentensia,SVR.TVR.SV.V,CVC.CVC.CV.V
Seperá,sepeɾaː,SV.TV.RV,CV.CV.CV
Separação,sepaɾasaːo,SV.TV.RV.SV.V,CV.CV.CV.CV.V
Serioso,seɾiozo,SV.RV.V.SV,CV.CV.V.CV
Sés,seːs,SVS,CVC
Seve,seʋe,SV.TV,CV.CV
Simiá,simiaː,SV.RV.V,CV.CV.V
Simple,simple,SVR.TRV,CVC.CCV
simplo,simplo,SVR.TRV,CVC.CCV
Sinhárè,siɲaːɾeː,SV.RVRV,CV.CVCV
Sinté,sinteː,SVR.TV,CVC.CV
Siome,siome,SV.V.RV,CV.V.CV
Sistê,sisteː,SVS.TV,CVC.CV
Sóbri,soːbɾi,SV.TRV,CV.CCV
sóber,soːbeɾ,SV.TVR,CV.CVC
Sociadade,sosiadade,SV.SV.V.TV.TV,CV.CV.V.CV.CV
Socorá,sokoɾaː,SV.TV.RV,CV.CV.CV
Soitâ,sojtaː,SVR.TV,CVC.CV
Solemno,solemno,SV.RVR.RV,CV.CVC.CV
Sombrè,sombɾeː,SVR.TRV,CVC.CCV
sómber,soːmbeɾ,SVR.TVR,CVC.CVC
Sonento,sonento,SV.RVR.TV,CV.CVC.CV
Subê,subeː,SV.TV,CV.CV
soubê,soubeː,SVG.TV,CVG.CV
Subiá,subiaː,SV.TV.V,CV.CV.V
Subtomente,subtomente,SV.T.TV.RVR.TV,CV.C.CV.CVC.CV
Súcar,suːkaɾ,SV.TVR,CV.CVC
Suffri,sufɾi,SV.TRV,CV.CCV
Suffrador,sufɾadoɾ,SV.TRV.TVR,CV.CCV.CVC
Sujaza,sud̠ʒaza,SV.TV.SV,CV.CV.CV
